"DATE","Quarter","Primary.Energy.Consumed.by.the.Residential.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Residential.Sector","End.Use.Energy.Consumed.by.the.Residential.Sector","Residential.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Residential.Sector","Primary.Energy.Consumed.by.the.Commercial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Commercial.Sector","End.Use.Energy.Consumed.by.the.Commercial.Sector","Commercial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Commercial.Sector","Primary.Energy.Consumed.by.the.Industrial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Industrial.Sector","End.Use.Energy.Consumed.by.the.Industrial.Sector","Industrial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Industrial.Sector","GDP","Month","Formatted.Data"
1979,"Q4",1896.52700696971,586.4151870416,2503.20493929704,1383.99535867812,3889.81039254436,1015.8848292415,475.002438894005,1515.40111828492,1122.41773304063,2618.64472093751,5524.62847146097,686.242788012855,6213.94915714802,1641.90362158566,7863.0243977653,6604.96987150626,"October",3560.28789619487
1980,"Q1",1894.57260121777,590.780584694417,2505.65800503059,1392.30192998683,3898.27472097736,1015.63404558144,479.59511567196,1520.50646906717,1131.68792174327,2629.69795854737,5488.40504918893,687.017625904629,6178.13776369594,1640.87884025353,7825.31272074353,6648.64444073715,"January",3651.60033900592
1980,"Q2",1892.61819546584,595.157869445015,2508.11107076414,1400.60059769833,3906.82627032815,1015.38811486389,484.221543712429,1525.61181984941,1140.99399237742,2640.88339602451,5451.13517600478,687.57404293499,6141.02777752593,1639.11493800331,7785.48511462268,6693.17918741192,"April",3742.91278181698
1980,"Q3",1890.66378971392,599.547806419772,2510.5641364977,1408.89563966075,3915.47085863384,1015.14731295874,488.882999862641,1530.71717063166,1150.34174239455,2652.21196671028,5413.05291378579,687.943100856352,6102.89002769584,1636.70592943635,7743.92048895566,6738.67686524629,"July",3834.22522462804
1980,"Q4",1888.709383962,603.951162945701,2513.01720223126,1417.19162243723,3924.21429180213,1014.91191631261,493.580639956851,1535.82252141391,1159.73697238408,2663.69455052799,5374.40532392456,688.157613224895,6064.01035312412,1633.75149884755,7701.01901749791,6785.23579832115,"October",3925.5376674391
1981,"Q1",1886.7549782101,608.368704952657,2515.47026796482,1425.49336516563,3933.06233026401,1014.68220117776,498.315487554572,1540.92787219617,1169.18542316327,2675.34188957386,5335.44969026791,688.25172367332,6024.68632277517,1630.35572022091,7657.19737536131,6832.94829273972,"January",4016.85011025016
1981,"Q2",1884.80057245819,612.80119335381,2517.92333369839,1433.80590117976,3942.02065535805,1014.45844284193,503.088424128655,1546.03322297842,1178.69271445261,2687.1645050015,5296.45063494242,688.260471542136,5985.22383435385,1626.62573728311,7612.88381116041,6881.89910443054,"April",4108.16255306122
1981,"Q3",1882.8461667063,617.249380446735,2520.37639943197,1442.13443791733,3951.0948357767,1014.24091486298,507.900180898022,1551.13857376067,1188.2642861879,2699.17261632284,5257.67716638239,688.219351264595,5945.93363845861,1622.67042320617,7568.51312383698,6932.16398885584,"July",4199.47499587228
1981,"Q4",1880.89176095441,621.714006377788,2522.82946516555,1450.48431564959,3960.29029440638,1014.02988831231,512.751332482421,1556.24392454293,1197.90534347792,2711.37606421318,5219.39969908941,688.163871885308,5907.12783533348,1618.59903950145,7524.52161396096,6983.80835746149,"October",4290.78743868335
1982,"Q1",1878.93735520254,626.195795711859,2525.28253089914,1458.86096556843,3969.61227588845,1013.82563103113,517.64229253383,1561.34927532519,1207.6208061502,2723.7842378499,5181.88708427318,688.129122965996,5869.11639082369,1614.51991325077,7481.34207829095,7036.88606434016,"January",4382.09988149441
1982,"Q2",1876.98294945067,630.695454147942,2527.73559663273,1467.2698677551,3979.06581521703,1013.62840690358,522.573311468663,1566.45462610745,1217.41526372572,2736.40600772621,5145.40368943167,688.149352860924,5832.20371672301,1610.53915096727,7439.39891395285,7091.43834470358,"April",4473.41232430547
1982,"Q3",1875.02854369881,635.213665419162,2530.18866236633,1475.71650954341,3988.65570767747,1013.4384751508,527.544476397946,1571.55997688971,1227.29293657536,2749.24966479965,5110.20656369112,688.257565083106,5796.68535914546,1606.75940657312,7399.10339608275,7147.4929247594,"July",4564.72476711654
1982,"Q4",1873.07413794695,639.751088413295,2532.64172809994,1484.20634476959,3998.38648041161,1013.25608964968,532.555713320507,1576.66532767197,1237.25764389887,2762.32286673075,5076.54272389909,688.485138109339,5762.84483627765,1603.27871982562,7360.84918914174,7205.06332018433,"October",4656.0372099276
1983,"Q1",1871.11973219511,644.308354545896,2535.09479383355,1492.74475436596,4008.26236587095,1013.08149828029,537.606791603741,1581.77067845423,1247.3127790154,2775.63259183137,5044.64659388319,688.861473439847,5730.95066365078,1600.18943986112,7325.00814694933,7264.14833748533,"January",4747.34965273867
1983,"Q2",1869.16532644328,648.886065415304,2537.54785956716,1501.33700873401,4018.28727739963,1012.9149423055,542.697330750601,1586.8760292365,1257.46129236517,2789.18510124807,5014.73762714687,689.413676360751,5701.25360248278,1597.57724741751,7291.92645257745,7324.73178994127,"April",4838.66209554974
1983,"Q3",1867.21092069146,653.484790763169,2540.00092530079,1509.98823227864,4028.46478715325,1012.75665578617,547.826809401769,1591.98138001877,1267.70568242433,2802.98590972989,4987.01813959654,690.166273113158,5673.98416207712,1595.52028696531,7261.92114196995,7386.78243623975,"July",4929.97453836081
1983,"Q4",1865.25651493964,658.105066760548,2542.45399103442,1518.70337045559,4038.79810653586,1012.60686503517,552.994576496595,1597.08673080104,1278.04799464226,2817.0397652279,4961.67137618586,691.14096773041,5649.35038401916,1594.08841864818,7235.27705033433,7450.25414702462,"October",5021.28698117188
1984,"Q1",1863.30210918784,662.747394633382,2544.90705676805,1527.48715962413,4049.29006929773,1012.46578811314,558.199864468531,1602.19208158331,1288.48982831442,2831.35063739482,4938.85983121893,692.356441006036,5627.5359308138,1593.34259744548,7212.24421235811,7515.08630078847,"January",5112.59942398295
1984,"Q2",1861.34770343605,667.412239636742,2547.3601225017,1536.34409995771,4059.94311740748,1012.33363436844,563.44180432443,1607.29743236558,1299.03235119995,2845.92171493921,4918.72383876525,693.828193519638,5608.69849767214,1593.33438535301,7193.03574146437,7581.20440739996,"April",5203.91186679401
1984,"Q3",1859.39329768427,672.100030380765,2549.81318823535,1545.27843160226,4070.75928977121,1012.21060402376,568.719442414022,1612.40278314786,1309.67632151085,2860.75541161726,4901.38044526104,695.568433840958,5592.96856081253,1594.10559987857,7177.82620506782,7648.52095378529,"July",5295.22430960509
1984,"Q4",1857.4388919325,676.811158506084,2552.26625396901,1554.29411422452,4081.74021383787,1012.09688781114,574.031758669376,1617.50813393013,1320.4221167874,2875.85338052389,4886.92257263957,697.586012422747,5580.4484711758,1595.6881002999,7166.7505061606,7716.93646304385,"October",5386.53675241616
1985,"Q1",1855.48448618074,681.54597870072,2554.71931970267,1563.39481003603,4092.88710009288,1011.99266665699,579.377686063218,1622.61348471241,1331.26976903732,2891.21653620646,4875.4184761975,699.886400988555,5571.21189747329,1598.10371097574,7159.90327405931,7786.34075488934,"January",5477.84919522723
1985,"Q2",1853.53008042899,686.304809044491,2557.17238543635,1572.58387031978,4104.20073940365,1011.89811141834,584.756131005595,1627.71883549469,1342.21900538321,2906.84508398818,4866.91149719985,702.471716509201,5565.30361742986,1601.36427881871,7157.33875954535,7856.61439200796,"April",5569.1616380383
1985,"Q3",1851.57567467726,691.08793166217,2559.62545117003,1581.86432544109,4115.68150314959,1011.81338267085,590.1659943826,1632.82418627698,1353.26929338409,2922.73855579469,4861.42010660722,705.340788313051,5562.73965180225,1605.47186039176,7159.07122342019,7927.63029415012,"July",5660.47408084938
1985,"Q4",1849.62126892554,695.895593660806,2562.07851690371,1591.23887826421,4127.32934603139,1011.73863054926,595.606192916098,1637.92953705926,1364.41989007537,2938.89585165241,4858.93823213823,708.489266176481,5563.50773074778,1610.41903194789,7165.07580000203,7999.25549878898,"October",5751.78652366046
