"DATE","Primary.Energy.Consumed.by.the.Residential.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Residential.Sector","End.Use.Energy.Consumed.by.the.Residential.Sector","Residential.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Residential.Sector","Primary.Energy.Consumed.by.the.Commercial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Commercial.Sector","End.Use.Energy.Consumed.by.the.Commercial.Sector","Commercial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Commercial.Sector","Primary.Energy.Consumed.by.the.Industrial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Industrial.Sector","End.Use.Energy.Consumed.by.the.Industrial.Sector","Industrial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Industrial.Sector","Month","Formatted.Data","Total.Energy.Consumed"
1978,24642.1328273811,-7654.31102551024,16990.0474659864,-22251.7082193877,-5261.43805952356,11589.6038239796,-10662.2409889456,927.125917517009,-28371.6867134354,-27444.4451037414,4830.22168877465,-5479.2931241497,-649.983201530371,-12111.3828435374,-12760.4590858844,"April",1978-04-01,41061.9583401358
1978,-34946.3582193878,3777.52501785718,-31171.0211335034,21633.5069285714,-9537.7075000002,-10579.4846190476,7702.08515221091,-2877.00189115646,25633.2541318027,22756.1506445577,24340.3656003411,4724.19181122452,29065.7296275509,20384.6054132654,49449.7398401361,"May",1978-05-01,-21185.4772380949
1978,60046.1004396259,3629.86196343534,63677.8235586734,-12310.592340136,51367.3438154763,15257.7454719387,-1644.5165714286,13612.5217457483,-14808.8435731292,-1196.31877636038,-67697.0766215996,-2704.47861819731,-70402.4263988096,-23554.9483588436,-93957.1407840136,"June",1978-06-01,7606.76928996574
1978,-94416.4822806123,-12966.0454345238,-107383.778404762,-6906.55702806121,-114290.37305017,-27651.2369753401,-5464.11659523807,-33114.3570680272,-2239.09073469389,-35353.2339668369,103636.587583334,74.0657423469556,103710.72877551,20114.1034515307,123824.962041667,"July",1978-07-01,-18431.131672619
1978,115120.554913265,18920.3328630952,134041.341987245,26702.0310204082,160743.382393707,39280.0685314626,10425.4339132653,49704.4185629252,19464.1257423469,69168.0157363948,-121771.510167517,2200.22785799319,-119570.489715136,-11236.3175195579,-130807.349965986,"August",1978-08-01,32629.1132772109
1978,-103423.204548469,-17725.2572763606,-121148.164805272,-34509.2484455783,-155657.471258503,-39163.1210442176,-11299.5452083333,-50461.7447032314,-29284.9390671768,-79745.837971939,125233.48855017,-3295.55831037416,121936.690606292,1971.41320068037,123909.081814626,"September",1978-09-01,-17352.8370425171
1978,66935.524545068,11841.6788222789,78776.4519396258,28555.2897491497,107331.963538265,27433.1550348639,8954.59966411563,36387.1142738096,28489.2507823129,64875.3104540818,-115963.940194728,3122.99460884355,-112839.864363095,2257.90262840124,-110583.276652211,"October",1978-10-01,-21595.2606147958
1978,-30785.7210765306,-7126.56788180274,-37911.4435765306,-18879.5647151361,-56791.5198996597,-14195.8730892856,-5785.18509013605,-19980.65402466,-20205.9576743197,-40185.5207670069,87457.4980612246,-2137.51026190478,85319.4798392855,-683.373776360418,84637.5609829931,"November",1978-11-01,42475.9038954079
1978,11480.2257083333,6133.05885629254,17612.5666488096,14310.7568384354,31924.1550875849,6846.80784863939,3199.98775595238,10046.5345331633,10043.9739982993,20089.6287687075,-38050.6991130954,720.390592687097,-37330.4773690474,-2261.93970493208,-39593.7715739794,"December",1978-12-01,-19723.665556122
1979,-7377.89008928571,-6034.38393877554,-13411.7757687076,-13577.3543129252,-26990.1274999999,-4615.012962585,-809.154324829932,-5424.00676615649,-1858.15543877554,-7281.86943452384,-18544.8098375849,929.359859693864,-17614.7442338437,1142.33393707491,-16471.4336683676,"January",1979-01-01,-30537.7128894564
