"DATE","Quarter","Primary.Energy.Consumed.by.the.Residential.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Residential.Sector","End.Use.Energy.Consumed.by.the.Residential.Sector","Residential.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Residential.Sector","Primary.Energy.Consumed.by.the.Commercial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Commercial.Sector","End.Use.Energy.Consumed.by.the.Commercial.Sector","Commercial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Commercial.Sector","Primary.Energy.Consumed.by.the.Industrial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Industrial.Sector","End.Use.Energy.Consumed.by.the.Industrial.Sector","Industrial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Industrial.Sector","GDP","Month","Formatted.Data","Total.Energy.Consumed"
1976,"Q4",-1188.19932653061,491.051760204082,-697.14187244898,703.945877551022,6.79146428571494,-296.576107142856,108.893607142857,-187.68150510204,21.1057091836749,-166.575198979592,1449.69384183674,108.357045918368,1558.06037244899,315.369540816328,1873.43095408164,75.8677602040825,"October",1976-10-01,-35.081591836728
1977,"Q1",553.625260204082,-705.330750000001,-151.705770408164,-1094.98946428572,-1246.68947959184,313.209704081633,-296.053943877551,17.1600714285701,-366.336943877552,-349.182785714286,-1008.68530102041,-181.434280612245,-1190.12684693878,-348.589566326532,-1538.72226530613,161.49849489796,"January",1977-01-01,-141.8503367347
1977,"Q2",-1012.30183673469,441.688892857143,-570.618209183671,511.218755102042,-59.3955255102005,-518.038239795918,121.523005102041,-396.521188775509,7.06145408163388,-389.454617346938,2214.52779081633,158.883484693877,2373.41377040817,270.851785714287,2644.27384183674,49.0081377551014,"April",1977-04-01,684.187714285723
1977,"Q3",1377.25290306122,-173.315903061224,1203.94185204081,115.713831632653,1319.64554081632,573.018642857142,104.801331632653,677.828622448979,503.565780612244,1181.39260204082,-1982.73433163265,-92.3752499999999,-2075.10529591837,-148.476760204081,-2223.59253061224,-635.987392857143,"July",1977-07-01,-32.462785714295
1977,"Q4",-610.432326530611,432.767760204081,-177.66887244898,446.89287755102,269.234464285715,-268.146107142857,36.9156071428566,-231.24050510204,-228.082290816325,-459.322198979592,797.359841836735,84.0150459183678,881.369372448988,152.546540816325,1033.92795408163,732.648760204082,"October",1977-10-01,-81.2185918367286
1978,"Q1",281.521260204081,-697.98675,-416.460770408164,-1087.07246428571,-1503.53947959184,292.851704081632,-252.500943877551,40.3570714285706,-271.673943877552,-231.317785714285,-978.167301020408,-117.790280612246,-1095.95884693878,-224.85256632653,-1320.82126530612,-377.818505102042,"January",1978-01-01,-403.7943367347
1978,"Q2",-1102.90983673469,408.759892857143,-694.151209183673,461.61875510204,-232.530525510206,-865.143239795918,105.884005102041,-759.25918877551,-13.6735459183665,-772.93261734694,1482.07179081632,76.2014846938786,1558.27777040817,106.755785714284,1665.03684183674,148.878137755103,"April",1978-04-01,-485.981285714277
1978,"Q3",1450.05890306122,-130.513903061224,1319.54185204082,267.277831632654,1586.81854081633,1015.06964285714,98.5053316326529,1113.57062244898,543.728780612244,1657.30260204082,-699.31233163265,-22.4432500000009,-721.757295918374,110.218239795921,-611.533530612256,-52.6443928571443,"July",1978-07-01,1765.81621428571
1978,"Q4",-755.704326530611,476.967760204081,-278.72887244898,433.700877551021,154.975464285713,-387.148107142857,91.0576071428575,-296.086505102042,-213.909290816326,-510.002198979592,113.291841836732,88.9990459183682,202.294372448989,-41.5234591836763,160.758954081644,3.69976020408376,"October",1978-10-01,-1029.56059183673
1979,"Q1",430.155260204081,-851.79175,-421.648770408164,-1408.57646428572,-1830.23047959184,-44.0612959183677,-336.816943877551,-380.882928571427,-426.443943877552,-807.318785714286,-1224.6793010204,-139.705280612245,-1364.39284693879,-172.976566326528,-1537.35726530613,38.033494897958,"January",1979-01-01,-838.585336734703
