Contiguous U.S. December Average Temperature,,
Units: Degrees Fahrenheit,,
Base Period: 1973-2020,,
Missing: -99,,
Date,Value,Anomaly
200210,51.84,-2.44
200211,41.97,-0.71
200212,35.08,1.41
200301,32.81,1.42
200302,32.79,-2.25
200303,43.3,0.13
200304,51.89,0.22
200305,60.98,0.23
200306,68.05,-1.19
200307,75.47,1.29
200308,74.66,1.97
200309,64.96,-0.52
200310,56.55,2.27
200311,42.35,-0.33
200312,35.29,1.62
200401,30.34,-1.05
200402,33.57,-1.47
200403,47.41,4.24
200404,52.68,1.01
200405,61.92,1.17
200406,68.09,-1.15
200407,72.9,-1.28
200408,70.16,-2.53
200409,65.66,0.18
200410,55.36,1.08
200411,43.99,1.31
200412,35.06,1.39
200501,33.39,2
200502,37.94,2.9
200503,42.31,-0.86
200504,52.27,0.6
200505,59.56,-1.19
200506,69.21,-0.03
200507,75.31,1.13
200508,73.2,0.51
200509,67.37,1.89
200510,55.38,1.1
200511,45.01,2.33
200512,32.7,-0.97
200601,38.93,7.54
200602,34.83,-0.21
200603,42.62,-0.55
200604,55.26,3.59
200605,62.28,1.53
200606,70.75,1.51
200607,76.41,2.23
200608,73.4,0.71
200609,63.3,-2.18
200610,52.59,-1.69
200611,44.08,1.4
200612,36.57,2.9
200701,31.35,-0.04
200702,32.41,-2.63
200703,47.66,4.49
200704,50.54,-1.13
200705,62.33,1.58
200706,69.87,0.63
200707,74.7,0.52
200708,74.64,1.95
200709,66.43,0.95
200710,56.68,2.4
200711,44.01,1.33
200712,33.22,-0.45
200801,30.27,-1.12
200802,34.7,-0.34
200803,41.86,-1.31
200804,50.4,-1.27
200805,59.36,-1.39
200806,69.6,0.36
200807,74.08,-0.1
200808,72.28,-0.41
200809,65.21,-0.27
200810,53.98,-0.3
200811,43.92,1.24
200812,31.87,-1.8
200901,31.05,-0.34
200902,36.77,1.73
200903,42.87,-0.3
200904,50.92,-0.75
200905,61.65,0.9
200906,68.54,-0.7
200907,72.63,-1.55
200908,71.89,-0.8
200909,66.38,0.9
200910,50.5,-3.78
200911,45.84,3.16
200912,29.64,-4.03
201001,30.67,-0.72
201002,31.8,-3.24
201003,43.57,0.4
201004,53.24,1.57
201005,59.88,-0.87
201006,70.48,1.24
201007,74.71,0.53
201008,74.05,1.36
201009,66.49,1.01
201010,56.14,1.86
201011,42.31,-0.37
201012,32.47,-1.2
201101,29.71,-1.68
201102,33.04,-2
201103,43.07,-0.1
201104,51.96,0.29
201105,59.13,-1.62
201106,69.82,0.58
201107,76.14,1.96
201108,75,2.31
201109,66.09,0.61
201110,55.09,0.81
201111,43.75,1.07
201112,35.4,1.73
201201,36.12,4.73
201202,37.51,2.47
201203,50.41,7.24
201204,54.68,3.01
201205,63.45,2.7
201206,70.54,1.3
201207,76.77,2.59
201208,73.8,1.11
201209,66.31,0.83
201210,53.89,-0.39
201211,44.01,1.33
201212,35.92,2.25
201301,32.25,0.86
201302,34.77,-0.27
201303,40.91,-2.26
201304,49.68,-1.99
201305,60.85,0.1
201306,70.39,1.15
201307,74.21,0.03
201308,72.99,0.3
201309,66.96,1.48
201310,53.44,-0.84
201311,41.61,-1.07
201312,31.06,-2.61
201401,30.56,-0.83
201402,32.13,-2.91
201403,40.51,-2.66
201404,51.69,0.02
201405,61.27,0.52
201406,69.58,0.34
201407,73.29,-0.89
201408,72.25,-0.44
201409,66.2,0.72
201410,56.93,2.65
201411,39.25,-3.43
201412,36.81,3.14
201501,33.08,1.69
201502,32.99,-2.05
201503,45.39,2.22
201504,53.24,1.57
201505,60.84,0.09
201506,71.37,2.13
201507,73.92,-0.26
201508,72.95,0.26
201509,68.54,3.06
201510,57.24,2.96
201511,44.6,1.92
201512,38.66,4.99
201601,32.22,0.83
201602,39.47,4.43
201603,47.5,4.33
201604,53.19,1.52
201605,60.33,-0.42
201606,71.76,2.52
201607,75.22,1.04
201608,73.53,0.84
201609,67.12,1.64
201610,57.72,3.44
201611,47.97,5.29
201612,32.95,-0.72
201701,33.57,2.18
201702,41.18,6.14
201703,46.15,2.98
201704,53.8,2.13
201705,60.57,-0.18
201706,70.36,1.12
